Country,Year,Inflation
Aruba,1996,3.225287972
Africa Eastern and Southern,1996,9.706586325
Afghanistan,1996,
Africa Western and Central,1996,4.914239726
Angola,1996,4145.105982
Albania,1996,12.72547781
Andorra,1996,
Arab World,1996,4.681306239
United Arab Emirates,1996,
Argentina,1996,
Armenia,1996,18.68118564
American Samoa,1996,
Antigua and Barbuda,1996,
Australia,1996,2.615384615
Austria,1996,1.860971158
Azerbaijan,1996,19.79480281
Burundi,1996,26.43678161
Belgium,1996,2.077021074
Benin,1996,4.914239726
Burkina Faso,1996,6.097804391
Bangladesh,1996,2.37712903
Bulgaria,1996,121.6075424
Bahrain,1996,-0.452227383
"Bahamas, The",1996,1.379137412
Bosnia and Herzegovina,1996,
Belarus,1996,52.71207675
Belize,1996,5.965020975
Bermuda,1996,
Bolivia,1996,12.42548662
Brazil,1996,15.7576656
Barbados,1996,2.386152228
Brunei Darussalam,1996,1.99613651
Bhutan,1996,8.790013819
Botswana,1996,10.08285807
Central African Republic,1996,3.724941103
Canada,1996,1.570531125
Central Europe and the Baltics,1996,19.79496692
Switzerland,1996,0.811634065
Channel Islands,1996,
Chile,1996,7.359117818
China,1996,8.313160289
Cote d'Ivoire,1996,2.480806692
Cameroon,1996,3.924063727
"Congo, Dem. Rep.",1996,492.4418502
"Congo, Rep.",1996,10.03112033
Colombia,1996,20.79757551
Comoros,1996,
Cabo Verde,1996,5.963619618
Costa Rica,1996,17.51145248
Caribbean small states,1996,2.23636304
Cuba,1996,
Curacao,1996,
Cayman Islands,1996,
Cyprus,1996,2.978924865
Czechia,1996,8.758774729
Germany,1996,1.44972702
Djibouti,1996,
Dominica,1996,1.677164505
Denmark,1996,2.126298023
Dominican Republic,1996,5.39929385
Algeria,1996,18.67907586
East Asia & Pacific (excluding high income),1996,7.313482593
Early-demographic dividend,1996,8.519951959
East Asia & Pacific,1996,5.52480986
Europe & Central Asia (excluding high income),1996,39.27002118
Europe & Central Asia,1996,8.194552176
Ecuador,1996,24.41145922
"Egypt, Arab Rep.",1996,7.187103697
Euro area,1996,2.978924865
Eritrea,1996,
Spain,1996,3.558845593
Estonia,1996,23.05034335
Ethiopia,1996,-8.484248689
European Union,1996,3.558845593
Fragile and conflict affected situations,1996,11.4775286
Finland,1996,0.629194238
Fiji,1996,3.050161812
France,1996,1.982883651
Faroe Islands,1996,
"Micronesia, Fed. Sts.",1996,
Gabon,1996,0.689693377
United Kingdom,1996,2.851782364
Georgia,1996,39.3575
Ghana,1996,46.56101968
Gibraltar,1996,
Guinea,1996,
"Gambia, The",1996,1.099488708
Guinea-Bissau,1996,50.73405496
Equatorial Guinea,1996,4.540727715
Greece,1996,8.194552176
Grenada,1996,2.032351721
Greenland,1996,
Guatemala,1996,11.05691653
Guam,1996,
Guyana,1996,7.094711973
High income,1996,2.851782364
"Hong Kong SAR, China",1996,6.275579809
Honduras,1996,23.83783531
Heavily indebted poor countries (HIPC),1996,7.411371735
Croatia,1996,4.3
Haiti,1996,20.58359621
Hungary,1996,23.46903019
IBRD only,1996,9.79968339
IDA & IBRD total,1996,8.864087416
IDA total,1996,7.830630917
IDA blend,1996,5.185760378
Indonesia,1996,7.973280856
IDA only,1996,8.519951959
Isle of Man,1996,
India,1996,8.977152338
Not classified,1996,
Ireland,1996,1.753732139
"Iran, Islamic Rep.",1996,28.93734402
Iraq,1996,-16.11732575
Iceland,1996,2.260418983
Israel,1996,11.41669332
Italy,1996,4.00697669
Jamaica,1996,26.40665661
Jordan,1996,6.501218027
Japan,1996,0.136600359
Kazakhstan,1996,39.18254237
Kenya,1996,8.864087416
Kyrgyz Republic,1996,31.94733772
Cambodia,1996,7.150861409
Kiribati,1996,
St. Kitts and Nevis,1996,2.086573852
"Korea, Rep.",1996,4.924543543
Kuwait,1996,3.553985697
Latin America & Caribbean (excluding high income),1996,11.29742947
Lao PDR,1996,13.0244157
Lebanon,1996,
Liberia,1996,
Libya,1996,4.028077754
St. Lucia,1996,0.92484261
Latin America & Caribbean,1996,7.359117818
Least developed countries: UN classification,1996,9.275390605
Low income,1996,7.830630917
Liechtenstein,1996,
Sri Lanka,1996,15.93583104
Lower middle income,1996,9.275390605
Low & middle income,1996,9.220466624
Lesotho,1996,9.330314585
Late-demographic dividend,1996,7.226914895
Lithuania,1996,24.62519539
Luxembourg,1996,1.183859688
Latvia,1996,17.61046984
"Macao SAR, China",1996,4.822486768
St. Martin (French part),1996,
Morocco,1996,2.986809228
Monaco,1996,
Moldova,1996,23.5056773
Madagascar,1996,19.75635454
Maldives,1996,6.241245915
Middle East & North Africa,1996,4.46630618
Mexico,1996,34.37838322
Marshall Islands,1996,
Middle income,1996,9.330314585
North Macedonia,1996,2.466600086
Mali,1996,6.805459968
Malta,1996,2.054
Myanmar,1996,16.27539664
Middle East & North Africa (excluding high income),1996,6.844160862
Montenegro,1996,
Mongolia,1996,46.88995215
Northern Mariana Islands,1996,
Mozambique,1996,
Mauritania,1996,4.681306239
Mauritius,1996,6.550973361
Malawi,1996,37.60204502
Malaysia,1996,3.488559459
North America,1996,2.250867663
Namibia,1996,
New Caledonia,1996,
Niger,1996,5.288857513
Nigeria,1996,29.26829268
Nicaragua,1996,
Netherlands,1996,1.949367132
Norway,1996,1.262532492
Nepal,1996,9.220466624
Nauru,1996,
New Zealand,1996,2.285713054
OECD members,1996,3.000090763
Oman,1996,
Other small states,1996,4.904534606
Pakistan,1996,10.37380859
Panama,1996,1.255716611
Peru,1996,11.53794241
Philippines,1996,7.476103778
Palau,1996,
Papua New Guinea,1996,11.62417829
Poland,1996,19.79496692
Pre-demographic dividend,1996,7.191646604
Puerto Rico,1996,
"Korea, Dem. People's Rep.",1996,
Portugal,1996,3.068977325
Paraguay,1996,9.79968339
West Bank and Gaza,1996,
Pacific island small states,1996,
Post-demographic dividend,1996,2.615384615
French Polynesia,1996,
Qatar,1996,4.904534606
Romania,1996,38.82930134
Russian Federation,1996,47.7520122
Rwanda,1996,7.411371735
South Asia,1996,8.977152338
Saudi Arabia,1996,1.222069885
Sudan,1996,132.8237774
Senegal,1996,2.754306635
Singapore,1996,1.383180525
Solomon Islands,1996,11.77435639
Sierra Leone,1996,
El Salvador,1996,9.788920402
San Marino,1996,
Somalia,1996,
Serbia,1996,95.60092612
Sub-Saharan Africa (excluding high income),1996,7.272879996
South Sudan,1996,
Sub-Saharan Africa,1996,7.191646604
Small states,1996,3.22736812
Sao Tome and Principe,1996,
Suriname,1996,-0.701887251
Slovak Republic,1996,5.775827862
Slovenia,1996,9.864450615
Sweden,1996,0.533131979
Eswatini,1996,6.425213303
Sint Maarten (Dutch part),1996,
Seychelles,1996,-1.100244499
Syrian Arab Republic,1996,8.249890099
Turks and Caicos Islands,1996,
Chad,1996,11.33087891
East Asia & Pacific (IDA & IBRD countries),1996,7.313482593
Europe & Central Asia (IDA & IBRD countries),1996,38.82930134
Togo,1996,4.6875
Thailand,1996,5.805105547
Tajikistan,1996,
Turkmenistan,1996,
Latin America & the Caribbean (IDA & IBRD countries),1996,9.794301896
Timor-Leste,1996,
Middle East & North Africa (IDA & IBRD countries),1996,6.844160862
Tonga,1996,2.99528024
South Asia (IDA & IBRD),1996,8.977152338
Sub-Saharan Africa (IDA & IBRD countries),1996,7.191646604
Trinidad and Tobago,1996,3.404574428
Tunisia,1996,3.725144727
Turkiye,1996,80.41215114
Tuvalu,1996,
Tanzania,1996,20.97725964
Uganda,1996,7.191646604
Ukraine,1996,80.32550146
Upper middle income,1996,9.788920402
Uruguay,1996,28.3420486
United States,1996,2.9312042
Uzbekistan,1996,
St. Vincent and the Grenadines,1996,4.407901138
"Venezuela, RB",1996,
British Virgin Islands,1996,
Virgin Islands (U.S.),1996,
Viet Nam,1996,5.675
Vanuatu,1996,0.906344411
World,1996,6.526095694
Samoa,1996,5.37461972
Kosovo,1996,
"Yemen, Rep.",1996,30.73373327
South Africa,1996,7.354113387
Zambia,1996,43.073098
Zimbabwe,1996,
Aruba,1997,2.999948098
Africa Eastern and Southern,1997,10.24959874
Afghanistan,1997,
Africa Western and Central,1997,3.997141704
Angola,1997,219.1767212
Albania,1997,33.18027438
Andorra,1997,
Arab World,1997,3.601161033
United Arab Emirates,1997,
Argentina,1997,
Armenia,1997,13.96076412
American Samoa,1997,
Antigua and Barbuda,1997,
Australia,1997,0.224887556
Austria,1997,1.305978572
Azerbaijan,1997,3.674348097
Burundi,1997,31.11158983
Belgium,1997,1.628160495
Benin,1997,3.466295906
Burkina Faso,1997,2.318690622
Bangladesh,1997,5.305601057
Bulgaria,1997,1058.373559
Bahrain,1997,2.43155134
"Bahamas, The",1997,0.544150383
Bosnia and Herzegovina,1997,
Belarus,1997,63.93736634
Belize,1997,1.149037568
Bermuda,1997,
Bolivia,1997,4.70844436
Brazil,1997,6.926712516
Barbados,1997,7.71053879
Brunei Darussalam,1997,1.711560045
Bhutan,1997,6.505487183
Botswana,1997,8.719931271
Central African Republic,1997,1.611313478
Canada,1997,1.621216381
Central Europe and the Baltics,1997,8.881048485
Switzerland,1997,0.520225423
Channel Islands,1997,
Chile,1997,6.133864644
China,1997,2.786465055
Cote d'Ivoire,1997,4.020833333
Cameroon,1997,4.786238819
"Congo, Dem. Rep.",1997,198.5167074
"Congo, Rep.",1997,
Colombia,1997,18.47002171
Comoros,1997,
Cabo Verde,1997,8.556062581
Costa Rica,1997,13.24804408
Caribbean small states,1997,2.99598403
Cuba,1997,
Curacao,1997,
Cayman Islands,1997,
Cyprus,1997,3.605344444
Czechia,1997,8.596156667
Germany,1997,1.939371989
Djibouti,1997,
Dominica,1997,2.436297155
Denmark,1997,2.182166779
Dominican Republic,1997,8.296567548
Algeria,1997,5.733522754
East Asia & Pacific (excluding high income),1997,5.608028434
Early-demographic dividend,1997,7.018285999
East Asia & Pacific,1997,3.727657602
Europe & Central Asia (excluding high income),1997,16.67432024
Europe & Central Asia,1997,5.536002668
Ecuador,1997,30.65756757
"Egypt, Arab Rep.",1997,4.625605788
Euro area,1997,2.109245627
Eritrea,1997,
Spain,1997,1.971073956
Estonia,1997,10.58187893
Ethiopia,1997,2.395209581
European Union,1997,3.11207792
Fragile and conflict affected situations,1997,7.087005912
Finland,1997,1.192558834
Fiji,1997,3.368140064
France,1997,1.20394294
Faroe Islands,1997,
"Micronesia, Fed. Sts.",1997,
Gabon,1997,3.973450075
United Kingdom,1997,2.201143135
Georgia,1997,7.087617629
Ghana,1997,27.88520864
Gibraltar,1997,
Guinea,1997,
"Gambia, The",1997,2.7812279
Guinea-Bissau,1997,49.10092358
Equatorial Guinea,1997,3.016505407
Greece,1997,5.536002668
Grenada,1997,1.24452783
Greenland,1997,
Guatemala,1997,9.232902949
Guam,1997,
Guyana,1997,3.555670906
High income,1997,2.337689937
"Hong Kong SAR, China",1997,5.776636714
Honduras,1997,20.19986676
Heavily indebted poor countries (HIPC),1997,5.572257111
Croatia,1997,4.170661553
Haiti,1997,20.55900734
Hungary,1997,18.30507441
IBRD only,1997,7.145111609
IDA & IBRD total,1997,7.106472427
IDA total,1997,6.505487183
IDA blend,1997,3.964378052
Indonesia,1997,6.226141634
IDA only,1997,7.217329112
Isle of Man,1997,
India,1997,7.164252115
Not classified,1997,
Ireland,1997,1.525605217
"Iran, Islamic Rep.",1997,17.34922575
Iraq,1997,23.06319968
Iceland,1997,1.815430803
Israel,1997,8.969575201
Italy,1997,2.043107798
Jamaica,1997,9.657552613
Jordan,1997,3.037884203
Japan,1997,1.747804587
Kazakhstan,1997,17.40804106
Kenya,1997,11.36184505
Kyrgyz Republic,1997,23.43542785
Cambodia,1997,7.960213978
Kiribati,1997,
St. Kitts and Nevis,1997,8.905183391
"Korea, Rep.",1997,4.438931846
Kuwait,1997,0.682191435
Latin America & Caribbean (excluding high income),1997,7.720839578
Lao PDR,1997,27.50886245
Lebanon,1997,
Liberia,1997,
Libya,1997,3.550295858
St. Lucia,1997,-0.005520287
Latin America & Caribbean,1997,6.949566085
Least developed countries: UN classification,1997,8.022107666
Low income,1997,5.029319864
Liechtenstein,1997,
Sri Lanka,1997,9.573696264
Lower middle income,1997,7.164252115
Low & middle income,1997,7.125327225
Lesotho,1997,
Late-demographic dividend,1997,5.879831057
Lithuania,1997,8.881048485
Luxembourg,1997,1.367512612
Latvia,1997,8.447383421
"Macao SAR, China",1997,3.490937151
St. Martin (French part),1997,
Morocco,1997,1.038198951
Monaco,1997,
Moldova,1997,11.77283245
Madagascar,1997,4.486382617
Maldives,1997,7.572834671
Middle East & North Africa,1997,3.550295858
Mexico,1997,20.62562873
Marshall Islands,1997,
Middle income,1997,7.145111609
North Macedonia,1997,1.294364872
Mali,1997,-0.362999796
Malta,1997,3.11207792
Myanmar,1997,29.69723258
Middle East & North Africa (excluding high income),1997,3.652026207
Montenegro,1997,
Mongolia,1997,36.55611489
Northern Mariana Islands,1997,
Mozambique,1997,
Mauritania,1997,4.625346953
Mauritius,1997,6.83334335
Malawi,1997,9.13735243
Malaysia,1997,2.662514597
North America,1997,1.979453159
Namibia,1997,
New Caledonia,1997,
Niger,1997,2.933452534
Nigeria,1997,8.529874214
Nicaragua,1997,
Netherlands,1997,2.109245627
Norway,1997,2.566923359
Nepal,1997,4.009988605
Nauru,1997,
New Zealand,1997,1.187148331
OECD members,1997,2.269003059
Oman,1997,
Other small states,1997,4.834489819
Pakistan,1997,11.37549289
Panama,1997,1.324351221
Peru,1997,8.56218949
Philippines,1997,5.590259397
Palau,1997,
Papua New Guinea,1997,3.964378052
Poland,1997,14.91315861
Pre-demographic dividend,1997,6.870639276
Puerto Rico,1997,
"Korea, Dem. People's Rep.",1997,
Portugal,1997,2.336862983
Paraguay,1997,6.949566085
West Bank and Gaza,1997,7.087005912
Pacific island small states,1997,
Post-demographic dividend,1997,2.201143135
French Polynesia,1997,
Qatar,1997,4.834489819
Romania,1997,154.7634804
Russian Federation,1997,14.76132927
Rwanda,1997,12.01542252
South Asia,1997,7.164252115
Saudi Arabia,1997,0.057154704
Sudan,1997,47.16853696
Senegal,1997,1.753164781
Singapore,1997,2.003586185
Solomon Islands,1997,8.084001355
Sierra Leone,1997,
El Salvador,1997,4.490136279
San Marino,1997,
Somalia,1997,
Serbia,1997,23.30786614
Sub-Saharan Africa (excluding high income),1997,8.169021441
South Sudan,1997,
Sub-Saharan Africa,1997,7.647174333
Small states,1997,3.615711601
Sao Tome and Principe,1997,35.81717824
Suriname,1997,7.145111609
Slovak Republic,1997,6.141989996
Slovenia,1997,8.359679907
Sweden,1997,0.658410256
Eswatini,1997,7.125327225
