Country Name,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,45.41611336,43.23377097,41.8701107,44.62052529,44.79970061,46.59285265,50.79121223,55.01251722,51.78522982,54.06070072,53.88412026,51.727256,50.65845761,55.89304113,58.8006573,56.25043416,58.68590324,59.16367303,60.24053866,56.62687109,57.22197454,57.24651374,55.96515909,58.78555165,79.28723418,63.72888351,56.76327356
Africa Eastern and Southern,77.30112148,74.47529531,73.05023497,82.11895336,74.65364177,76.64914726,61.91770785,70.91838317,79.86258582,85.43851371,94.59485521,93.64112372,78.56708363,78.77928402,83.27721565,74.50800251,77.16765636,73.78257507,71.95828362,64.63922399,62.42703309,63.41099856,63.325222,62.27448721,57.68989212,51.64304063,51.09559878
Afghanistan,,,,,,,,,,,4.842856866,6.839982237,9.388327721,10.58413068,11.57504424,4.959180376,4.47210363,4.321685417,3.9410571,3.981493795,3.888321746,3.841881205,3.512317033,3.22995723,3.09659809,,
Africa Western and Central,6.850745799,7.493555236,7.999573428,8.934207692,8.746136348,9.393095117,8.469505522,9.108408781,8.827899249,8.837664242,8.613130245,12.44925997,15.3596007,16.53394319,13.13528265,11.98017005,11.74587114,12.70105117,14.09987244,14.57596247,16.01063643,15.08815534,13.43120402,13.76549063,14.57087304,15.59921282,16.36153612
Angola,,,,,,,,,,,,,,,,,,,,25.24010831,21.0984099,17.00068506,14.93527049,15.34092156,13.72462233,10.41072534,8.43700064
Albania,,,,,,,,,,,,,,38.21344481,39.08286378,41.15368699,40.80458311,39.78654408,39.26167849,37.15074121,36.59900068,34.75782663,32.98582787,34.12693832,37.91517127,36.64025899,33.9680292
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,24.71958365,26.45589604,31.79020832,32.0604006,29.70980032,31.79763211,32.31335181,31.41752339,30.42015217,30.59492845,29.88948045,31.65504186,31.61979076,36.64475287,36.09737508,34.97902295,34.55231329,36.60321949,39.80503094,48.21115458,55.83824883,53.3416048,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,84.70520709,80.72004075,76.32495078,78.15898604,90.79016696,77.50002032,66.01761367
Argentina,20.18700183,21.93345876,24.15329877,24.89334375,23.89473362,20.83357465,15.3318584,10.76270592,9.682518196,10.65349292,11.91026166,13.09854135,12.31394671,12.41620754,12.69010625,14.00871512,15.21281502,15.72909201,13.82376925,14.41423304,13.66763343,15.95849734,,,,,
Armenia,,,,,,,,,,,,,,24.85492197,28.4451646,35.36788787,40.0600551,42.38024049,48.91717311,45.63078261,48.87564437,51.54258581,55.50200273,60.15523792,72.19291409,61.67381255,52.5539286
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,49.69615504,55.88609489,56.14129716,57.81330665,58.62768914,62.40253551,66.26433149,64.50855653,60.73073005,60.30590152,64.16064933,64.43129399,66.68592313,74.264991,79.08234429,68.03411367,63.63237785,61.28148883,56.02832784,48.62259592,47.01061865,44.33360506,41.65418746,41.97578594,53.80244937,45.45628849,38.14609905
Australia,71.49676898,75.31873044,79.11066689,84.05447935,87.53517869,88.35907871,91.21770335,99.13471053,102.6115458,108.4330782,113.6015097,120.5118032,121.7134203,122.5074554,125.1906697,122.1598742,121.1710748,124.6899615,128.4132289,136.3063051,142.5758134,140.531327,139.8309019,136.0245189,142.0194904,138.4800987,133.8547261
Austria,,,,,,89.71336188,88.52152557,87.80636589,87.76584573,94.32410576,94.43760642,92.91988389,95.81296636,97.73957467,98.52832394,96.06109929,94.22379903,92.55775212,87.55558785,85.89120788,83.13573566,84.26289373,84.41367028,85.98978127,92.91223998,93.30339431,89.61117902
Azerbaijan,,,,,,,,,,,,,,,,,,,,,32.86885403,22.09960381,20.76648582,23.00186901,26.0320151,22.92504408,18.31855494
