Country Name,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,7.055997848,7.090541279,7.060096392,7.015271496,6.939536435,6.850376004,6.803536656,6.74124106,6.535173151,6.373502557,6.347598359,6.283420969,6.232560527,6.295586914,6.933644662,6.715357928,6.599355622,6.512784349,6.55564571,6.70714202,6.855589378,6.940364925,6.913046122,7.121663119,7.631303888,7.920218722,7.916835364
Afghanistan,8.165,8.089,8.082,8.07,8.054,8.04,8.186,8.122,8.053,8.113,8.054,8.108,8.022,8.082,8.068,7.947,8.019,7.949,7.91,8.989,10.086,11.18,11.11,11.085,11.71,,
Africa Western and Central,4.379536901,4.421116699,4.454917482,4.637772798,4.666422595,4.581780526,4.448733038,4.405969051,4.352562132,4.321496293,4.20305842,4.148270459,4.16744299,4.215072649,4.235777404,4.188827617,4.167556186,3.804447466,3.985877994,4.241135882,4.112957928,4.140483974,4.201598674,4.2614142,4.914143315,4.873635163,4.7421746
Angola,4.274,4.262,4.234,4.206,4.163,4.119,4.043,4.043,3.972,3.915,3.882,3.827,3.791,3.78,9.43,7.36,8.064,8.834,9.58,9.584,9.586,9.535,9.522,9.481,10.35,10.384,10.209
Albania,13.931,16.876,20.047,20.84,19.028,18.575,17.895,16.989,16.31,15.97,15.63,15.97,13.06,13.67,14.09,13.48,13.38,15.87,18.05,17.19,15.42,13.62,12.3,11.47,13.067,12.683,11.808
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,12.26632238,11.8387853,11.84801863,11.9772997,12.44784586,12.32400013,12.33008481,12.25429412,11.27934126,11.12125805,10.41118545,10.00305119,9.698519064,9.312896662,9.386506885,10.47496761,10.67354513,10.73433927,10.85621366,10.96821927,10.76335878,10.91992044,10.58333986,10.16515832,11.34837054,11.02369363,10.6640194
United Arab Emirates,1.903,1.983,2.147,2.223,2.25,2.501,2.654,2.751,2.904,3.12,2.926,2.86,2.721,2.668,2.464,2.284,2.171,2.032,1.902,1.763,1.64,2.46,2.24,2.33,4.29,3.11,2.754
Argentina,17.11,14.82,12.65,14.05,15,17.32,19.59,15.36,13.52,11.51,10.08,8.47,7.84,8.65,7.71,7.18,7.22,7.1,7.27,7.524,8.109,8.35,9.22,9.84,11.46,8.74,6.491
