Country Name,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,18.53572541,17.68706981,18.72622639,17.04352897,17.69200151,17.58304217,16.66691606,17.332271,18.08843728,18.62009913,19.38288057,20.97085148,23.02644521,23.25115082,21.08315575,21.4636747,21.42070303,21.89536757,22.38979156,21.81077958,20.58960404,20.5962921,20.34702686,21.09980869,20.52912333,19.98559669,19.50587794
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,11.45562833,12.98670367,
Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,30.32665299,29.67477839,30.60773919,27.79224616,21.94765405,25.15584754,29.21997371,42.79248839,28.2365041,26.39240365,26.68083714,26.15849908,27.47881001,28.20960509,26.21321467,23.24231667,17.19469862,17.71225524,26.4904005,26.43736188,25.67231961
Albania,21.79445147,20.11538554,21.48869164,23.54310699,31.90659199,36.72931712,36.05552225,35.89389705,37.79569067,37.91985083,38.07024698,36.38474182,33.94929748,32.70891029,28.42847186,29.36623267,26.48867694,26.07955762,24.15867355,24.41349028,24.36793122,24.57650336,23.86262697,22.31329842,22.64950604,24.35361461,23.88699038
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,22.48681503,21.89379017,23.07649652,21.1483121,19.13152418,20.24710795,20.66413268,21.1335559,20.85784043,20.9871478,21.3932453,23.20043386,23.19284144,25.35717673,24.21681901,22.35624372,21.15477435,21.70445828,22.53723112,25.13078151,23.757435,22.22837308,21.21719838,22.26748121,21.65013139,20.53098056,20.37304622
United Arab Emirates,,,,,,20.97810225,21.07141741,20.79147637,18.68411572,18.37912798,17.57821121,23.57302652,22.3738986,28.9130022,23.90250995,20.83182599,20.27032496,17.75343037,19.06036111,22.61156229,23.64431238,18.73814761,17.12829767,18.36949815,20.20557101,,
Argentina,18.08218126,19.37012354,19.93496169,18.0140244,16.19264939,14.17911832,11.96064809,15.13750756,15.89378728,17.3511469,18.33118672,19.51607916,19.01016098,15.58175264,16.64146616,17.2482847,15.85752542,16.28951119,15.97995408,15.56474508,14.27236275,15.16219875,15.2510495,14.19904614,14.28250537,17.62588827,17.88430916
Armenia,17.88451095,16.20419366,16.21597597,16.41956918,21.71400015,20.83744658,24.8429527,27.08676191,28.1078274,35.09419069,41.85068025,43.50453186,46.83331579,42.88387857,39.37510944,30.73674486,23.59883562,21.212512,19.99505739,20.6125616,17.35771966,17.648376,16.74091087,15.81559843,17.77392125,21.20394186,20.26585981
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,
