Country Name,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,28.46153846,30.23340627,31.70077155,30.8690013,25.49411358,23.99917753,26.62997978,28.88170409,28.45139188,33.1604422,34.51912965,31.74665104,32.10305572,29.64217978,28.28317971,27.41663716,23.52250683,23.82585502,23.11146102,21.53891957,20.57501001,20.55118213,22.40172431,22.43850436,22.69527436,20.83936445,20.55250186
Africa Eastern and Southern,19.25332532,17.89117945,19.01512977,17.96474292,18.4060445,17.75255381,17.02136904,18.03001057,19.46637765,19.21746125,20.25329048,21.32764489,23.54505937,23.32553508,21.46733046,22.34656715,22.10250477,22.61272183,22.89655699,22.8338811,20.42074559,20.71425648,20.63782595,21.29444494,20.11512186,19.91499455,19.95146013
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,11.5,13,
Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,30.49317313,30.45111141,30.8936755,27.55657979,23.30077092,25.73057936,30.80405331,42.82085316,28.19731769,26.42435317,26.66757737,26.14297048,27.5004592,34.20249083,27.21470927,24.13030586,17.86942057,17.71225524,26.4904005,26.43736188,25.67231961
Albania,18.06379072,16.65950852,19.74260227,19.73469208,30.79625857,34.98866978,35.26406156,33.8968628,34.19674618,36.86967568,35.69751872,34.46197003,35.77842388,34.55784589,30.30866982,31.41358148,28.32854996,28.05249646,25.67469263,25.8190485,25.22382594,25.05253803,23.91020539,23.01259551,22.96503001,24.81229514,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,19.50858172,17.44059793,20.38279291,20.16308459,18.355218,19.3989377,18.88369783,19.68117313,19.62716946,19.62554526,20.73337815,23.43502853,24.49058002,25.70690147,23.82428759,24.07923577,23.45250794,24.18237522,25.24788339,27.84424516,27.66543912,27.01068276,26.41152212,26.79957391,25.69443418,23.47653776,23.2431486
United Arab Emirates,,,,,,22.50259715,22.54568155,22.12976184,19.97851906,20.16684881,19.27039968,25.19918282,25.09809154,31.63354876,26.18135292,22.50888521,21.31468354,18.77145053,21.58126791,24.79853453,25.15932615,24.97749268,23.24534237,22.42276242,22.78644749,,
Argentina,19.62387245,20.82605155,20.97076915,17.86292788,17.53348744,15.62596533,10.85390524,14.1469621,17.55127036,18.88826414,18.68048724,20.0991132,19.57277588,16.05311236,17.70553381,18.39845892,16.50198653,17.3057789,17.26288101,17.07070488,17.66322786,18.21256717,16.61388502,14.2100304,14.41515574,18.05734002,17.62504501
Armenia,21.09544717,23.26567929,22.68635187,20.76888047,21.9223314,22.90435529,25.41829676,28.34794998,29.1225577,35.76543899,42.22545768,44.35162298,47.94283582,41.1450508,38.81475499,31.92179898,24.68095275,22.15249007,21.28304069,20.73053013,18.01550867,18.42174021,22.39973933,17.40852941,19.66383294,22.96387623,21.63430988
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,24.7885982,24.8558828,25.64404996,26.14589414,26.25046403,23.39306363,24.40742631,25.93698481,27.06364738,27.45682604,27.5048145,27.50199032,28.60331511,27.36433967,26.7798289,26.45915028,27.71092686,27.86668791,26.71703043,26.25809902,25.3950725,24.09993759,24.5339187,23.26103745,22.2652648,22.75737337,23.57350632
Austria,26.33767296,26.21365746,26.1056608,26.11755139,25.92697094,25.16076629,23.64265684,24.40874646,24.06102689,23.82524564,23.61032759,24.5843049,24.46746074,22.77532094,22.60784712,24.14047447,23.97710689,23.72339,23.53154279,23.80552569,24.25632596,24.8384193,25.72643543,25.34941264,25.62731095,27.66001067,27.54897369
Azerbaijan,29.00168338,34.23677295,33.36627332,26.49466239,20.67357623,20.67687561,34.57649485,53.17148254,57.99043399,41.53483729,29.85938484,21.52500837,18.69363085,18.9486398,18.05957848,20.26784686,22.3167232,25.65793544,27.51003574,27.91357117,25.68133825,24.3789257,20.1294761,20.30777985,23.66595433,17.07859816,12.64584258
Burundi,8.209806157,6.096849475,6.771614193,5.88493632,2.78113771,4.468258563,3.948660199,7.868790037,10.34709713,18.2,18.51298572,15.1864583,13.40895869,18.97487302,17.16038243,16.34574756,16.33814469,14.63263852,14.20305716,12.16345825,9.23740997,8.806015605,11.10345859,14.1287,11.44598692,13.11262,13.38688082
Belgium,21.63074679,22.30034159,22.34865908,22.68901182,23.7829613,22.6338255,20.74740198,20.96470771,22.66706017,23.6810632,23.97054911,24.60327415,25.93677033,22.1732846,23.12677669,24.50693916,23.68992583,22.4281969,23.13618772,23.62795037,24.25221229,24.45641513,25.4159758,25.00897266,24.22501512,25.73149901,27.1378841
Benin,17.55116797,18.54485643,18.15515708,18.22709373,16.00840245,17.75272025,14.83372253,15.16379004,15.21860513,12.08604489,12.87346512,16.376868,13.74042066,14.86571873,15.60808921,16.46255728,15.27631274,18.86187235,19.25758563,20.73179209,20.2720396,23.96042223,26.38651302,25.62980058,25.63384351,28.85061832,36.52579435
Burkina Faso,24.94470713,27.39177838,24.17456283,17.29650159,14.57069906,13.54589787,13.45168488,15.45928136,15.51810381,17.56359353,16.12500563,18.25108478,20.73196245,19.99003226,21.990434,22.1235118,24.6529929,23.70991501,19.26224919,19.40669972,20.79554795,22.07812216,21.73910482,19.75786801,16.75492155,15.18033739,17.50215024
Bangladesh,20.7299506,21.81621451,22.12141282,22.7213703,23.80856257,24.17430673,24.34141614,24.67918886,24.99183394,25.83043551,26.14414575,26.17849707,26.2022714,26.20605702,26.24665618,27.42097337,28.26233501,28.38962075,28.57787571,28.88668925,30.23976392,30.94687178,31.82257839,32.21372984,31.30793819,31.01873874,32.04727558
Bulgaria,1.157310989,9.727381637,18.70860503,19.84369964,19.04614349,21.35107179,20.52902088,22.07417339,23.43335211,27.73967166,32.05633531,33.60623366,36.92453897,28.53822071,22.51796856,21.35818296,21.88708499,21.0060109,21.50783394,20.9999296,18.96243249,19.81699847,21.22367898,21.00717561,20.34595536,21.07922787,23.37647004
Bahrain,14.40526585,17.44648693,21.42273451,7.905202165,16.57505906,15.7093969,23.34773062,23.73581036,20.51993544,26.73527374,30.38795365,34.71326042,34.94812409,26.14469719,27.28649313,22.40295749,28.14636897,25.9405926,26.84450421,25.53079047,29.15394357,32.9434239,35.26443844,32.63695481,35.09483096,25.58529136,
"Bahamas, The",30.49376559,29.07920586,32.11223991,28.75243855,30.18521706,26.87359564,24.20854933,24.27371086,23.19086412,27.3367764,33.51643758,30.51041877,29.45563367,28.05360871,27.98600601,30.18335824,31.3421141,29.45986244,31.94135656,24.95866494,26.06801239,27.90304811,26.52683821,26.56007106,24.47665717,24.12817933,21.69351962
Bosnia and Herzegovina,41.2139014,41.99999937,38.00000028,27.99997931,29.7272486,30.97963278,30.8221183,29.68936053,29.89571011,28.7397822,25.2768166,29.84128125,31.695016,23.6484988,19.70876224,22.19988958,22.43641159,21.23358055,22.52586422,21.68958985,22.71496828,24.63459501,24.41012063,24.84379506,23.10653362,26.02686297,27.49162943
