Country Name,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,123.5726253,112.9681481,91.31672213,140.187243,107.4442302,85.59561394,,,153.18675,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,6.849940628,6.589235922,5.512399969,,,,3.386008948,,,11.96776613,13.26174477,28.80865644,14.41809107,11.48764528,13.97115958,9.870497577,,16.42076008,11.95401445,11.59281314,,,,,12.94137393,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,,,,,,,,,,,,,,,,34.85467976,34.56945102,45.49345923,47.90955731,48.91262807,48.77016915,49.17435433,46.7589014,136.0180073,152.6555231,,
United Arab Emirates,,,,,,,,,,,,48.93258453,34.02944156,54.52392038,43.80264997,25.97509586,26.34561945,45.05658449,48.68300345,52.89956427,57.74128324,59.43505826,54.18049469,59.04900699,84.36472261,,
Argentina,16.42196989,20.23221072,15.16409613,19.6977247,16.12904122,12.42441526,16.95693922,27.42805088,24.65345574,23.94635989,22.03333915,19.8483842,11.02184322,13.73818636,15.08632035,8.220149459,6.273966253,9.619994839,11.42690327,9.438368633,11.40761061,16.89484975,8.762253617,8.798018523,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,77.85814167,67.89179073,82.299107,109.7992894,89.57789057,98.81502517,96.03280837,125.1829739,126.3141875,115.5703647,146.4233357,151.8483876,64.75367039,135.8700263,126.599615,85.66427945,89.61161162,86.60093428,87.75094424,87.81703813,105.0441842,113.6847648,88.32416121,106.663016,129.3280252,,
Austria,13.4518324,17.30344458,1.191322798,15.19979732,15.17323576,12.76112934,15.66181622,21.55094652,29.11728915,39.9413338,57.32433482,60.75466495,17.65729851,28.39417288,32.12846231,19.75270789,25.9004176,27.35329552,21.86932914,25.15356994,30.56223194,36.10352637,25.67126719,29.93688053,30.36052347,,
Azerbaijan,,,0.068370401,0.070286516,,,,,,,,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,42.55063043,54.18674998,94.39498987,71.30244039,77.0634841,70.05098325,49.36712714,54.56213544,74.00772797,74.79129353,97.03818263,81.87190491,32.32346047,53.75402749,55.81940866,43.81952015,60.36791322,71.73860397,70.70091868,89.66568929,79.4316038,87.07721613,59.1006984,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,15.89524323,5.742252402,4.060333874,3.045782412,4.107529953,1.811958934,27.21299215,,,4.751541126,5.361123816,10.96916578,12.79156007,20.42289567,36.10097419,37.08043967,,34.10785338,39.59726909,33.56845342,26.5496844,29.33696929,24.08074865,18.33982565,24.00993108,,
Bulgaria,0.045547101,,0.960145509,0.752091819,0.974559073,0.579548862,4.399427366,8.300418477,10.71938799,17.02661038,30.03143945,48.76499853,16.30012569,16.6330983,14.53157005,14.29454972,,,,,,,,23.22855014,25.16812916,,
Bahrain,77.21397887,123.3729769,109.4675704,108.1230748,73.09305827,73.5222293,78.01169507,86.92507294,102.9709938,108.7426938,114.1457078,124.6587667,77.58323006,70.89752979,78.01313876,57.65084288,,,66.09476413,61.99895092,60.16508412,61.18936883,57.83476251,69.54714713,71.07684903,,
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,0.729335797,0.945905675,2.595678908,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,,,,,61.66278616,69.50174746,54.68314256,69.28658016,41.23885127,43.6466853,44.00276693,40.35924339,27.39727794,20.43554688,23.13578996,19.52162715,23.31226361,22.68876215,24.96855311,27.80056506,36.54581416,38.06594388,33.11939686,39.94495832,3.200164016,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,,,,,34.5034587,33.25768798,24.86518344,42.01824806,49.35780662,53.23338559,64.1233686,98.03858476,34.90661176,80.21898841,69.97189646,46.97487936,49.79040957,41.26687432,34.35990128,27.21844343,42.24322945,46.26644878,47.82764763,63.38382352,66.95816531,,
Barbados,32.39656841,45.42936318,62.24487181,68.97502149,55.77806831,60.15059748,,,,,,,,,48.25596151,98.09122928,,85.05853102,57.0054805,62.29594423,63.93409452,67.12176752,69.30345873,63.61985359,58.67371486,,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,6.773854078,12.21429394,15.11246831,19.18179222,16.88932846,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,139.5157718,154.2789873,170.6510615,213.4805503,103.5001416,83.25860479,116.831457,101.6403458,114.6906726,126.3467476,128.9133218,148.8643634,66.55883269,122.028302,134.24452,106.6661219,112.667433,114.4711752,116.0415795,102.3700787,130.4665966,143.5220535,112.3207512,138.1581549,160.321512,,
Central Europe and the Baltics,9.186142067,10.34060148,10.09196232,12.82691662,13.41876424,10.94927573,13.97711362,14.96783871,22.80946941,24.8181914,34.38180304,41.37218017,15.3600379,24.6827867,27.18822613,18.88828044,,27.01546279,21.88959495,22.70190327,23.23649212,29.07238105,21.47812331,19.56046399,21.31075476,,
Switzerland,117.6948015,195.1704214,227.1144034,227.6911822,283.7644884,184.0152775,198.0809319,200.8154681,205.2665534,224.4158794,274.5559568,259.7413786,155.188516,192.1078541,205.2858692,152.1912893,179.6915215,218.1568411,205.81368,218.8854131,204.0071044,242.5913477,198.6249456,254.3016089,269.7580151,,
Channel Islands,,,2.67673454,3.949708499,3.961051974,7.285525866,3.989393792,3.100687486,2.154637414,6.087270855,15.29261628,,,,,,,,,,,,,,,,
Chile,83.94993498,84.02728109,63.25913308,90.27349356,77.10104953,78.67261599,70.91393517,113.1167368,118.0147431,111.6106987,113.3741494,123.4326059,73.26955009,134.3201827,157.4738428,107.521009,117.3393971,95.58573952,89.86153136,78.51174289,85.21522774,106.7069326,84.75009312,73.14876658,72.58346937,,
China,,,,,,,,30.89711386,22.89723067,17.57913734,41.6208388,126.1536055,38.71688391,70.03858863,66.16910503,45.18423676,43.33445506,41.26383585,57.32304948,74.02219921,65.16989159,70.76295319,45.51940772,59.63251513,83.16093652,,
Cote d'Ivoire,0.34358627,,9.303170833,6.854011537,2.632056148,5.854839722,7.281943535,7.76458251,8.858396448,9.70344838,16.43602735,28.87741218,20.79857981,18.07290039,20.48905685,17.13536151,,27.63981503,23.97559251,27.26842429,25.54065469,23.77669523,14.44455736,13.52309779,11.64031082,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,34.68449609,34.73842149,49.43809192,36.17100979,60.44682244,72.7758488,60.09429284,70.70610261,53.04804857,38.49159251,29.28711569,36.7213433,38.95162958,31.073888,40.8753319,39.35399721,,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,6.701332012,6.520142095,9.560549036,16.19341742,,,,3.013531827,8.373187493,7.535886146,8.275435993,8.115470777,6.185785926,4.776210385,3.836890994,3.50404213,,3.827247643,4.90491376,4.169808479,4.958279993,4.975143397,3.846705628,3.442145582,3.047137414,,
Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,3.761646604,3.694351261,3.467112242,3.947016957,5.725501501,54.36837684,46.75618468,,,6.703882517,,,7.91746604,6.379276265,11.40949761,,
Cyprus,,,,,,,,,,,80.49714533,71.97409086,28.68743527,39.57878181,26.55940703,10.35126808,7.990257095,8.80660648,17.40802376,13.56885995,11.98557887,12.34066055,12.98212213,16.5139147,18.60356988,,
Czechia,21.14344496,17.39640121,15.61321854,16.2381795,15.76330102,12.0193724,12.47794281,15.49371321,22.4441739,25.43789337,28.39560157,36.23504719,17.2759721,,,,,,,,,,,10.41904163,10.81965556,,
Germany,26.62067257,37.30726136,48.87257832,65.24841388,65.20815777,55.08036292,33.00546789,43.13274781,42.44373115,42.22668139,54.68353352,61.45525178,29.6529057,37.88497067,42.05466904,31.59244189,42.13933857,51.85344285,44.70294326,51.10220955,49.45573417,61.29273987,44.16147453,53.94903889,58.75177822,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,
