Country Name,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,1.185788511,7.046874992,1.991984449,1.238041842,7.622920639,4.182002641,-0.944954681,1.11050501,7.29372894,-0.383139604,1.127412128,3.089543901,1.835755679,-11.67774203,-2.733455707,3.369238122,-1.040800135,6.431481824,-1.586574644,-0.623625633,1.719624116,7.048533259,2.381730126,-2.302836844,-23.98258035,27.63935697,10.45831735
Africa Eastern and Southern,5.462321357,4.443446939,1.852617931,2.653553746,3.34857352,3.636553193,3.928835727,3.106138743,5.525630903,6.13157864,6.57581608,6.598625271,4.329092325,0.660371254,5.157236643,3.701852914,0.881674422,4.216607499,4.007576949,2.965062327,2.219014608,2.57194148,2.491354696,2.040616966,-2.799038075,4.300440828,3.43513777
Afghanistan,,,,,,,,8.832277813,1.414117981,11.22971482,5.357403251,13.82631955,3.924983822,21.39052839,14.36244147,0.426354785,12.75228709,5.600744658,2.724543364,1.45131466,2.260314201,2.647003202,1.189228128,3.911603419,-2.351100673,-20.73883937,
Africa Western and Central,4.639763745,4.258150797,3.481741098,1.420224004,3.731448802,5.203518213,9.918280892,5.53557456,7.996553747,5.824941337,5.374564255,5.52431402,6.279591728,6.284120752,6.969282599,4.848813839,5.136468595,6.107012773,5.926265571,2.813543412,0.142091829,2.286269536,2.838828802,3.200918667,-0.938161715,3.976317465,3.766353893
Angola,13.54436976,7.274277355,4.691146451,2.181489718,3.054624234,4.205998556,13.66568876,2.99,10.95000001,15.02999999,11.55,14.01000001,11.16999999,0.860000002,4.398375938,3.472053148,8.542107076,4.954613031,4.82255927,0.943571561,-2.580111222,-0.147149825,-1.316361689,-0.702272958,-5.638214717,1.199210521,3.04540301
Albania,9.099999436,-10.91998408,8.829423758,12.89080364,6.946216592,8.293312631,4.53652416,5.528637465,5.514667911,5.526424247,5.902659036,5.983259519,7.50004143,3.35428935,3.706938153,2.545406145,1.4172428,1.002017541,1.774448853,2.218726375,3.314980684,3.80259872,4.019345617,2.087711996,-3.302082039,8.908527818,4.856401652
Andorra,4.649738668,9.067672051,3.194793393,4.099078922,3.528362361,8.119357722,4.546362214,8.694203716,8.135676338,5.397795985,4.808688699,1.553188141,-5.559186369,-5.302846543,-1.974958,-0.008069753,-4.974443719,-3.547596515,2.504465521,1.434140395,3.70967807,0.34607189,1.58876549,2.015547638,-11.18393994,8.287199781,8.809579348
Arab World,4.741739548,4.735506826,5.101042652,1.859651771,6.587671244,1.743116398,0.722964559,4.915326444,8.833923953,5.501930904,6.121661845,4.551004904,5.536045266,0.360015564,4.713732711,3.432115413,4.729944978,2.618809547,2.433244423,3.443813236,3.686091029,1.239447448,2.438225409,1.359776463,-5.048285079,3.732645566,6.033833417
United Arab Emirates,5.798404061,8.190398641,0.291994349,2.902213645,10.85270421,1.39908503,2.43345681,8.800540815,9.566436637,4.855141196,9.837319773,3.184390174,3.191836276,-5.242921907,1.602850048,6.216121813,1.824480789,5.055559654,4.165691843,6.786772879,5.561490755,0.735068713,1.313913881,1.108348139,-4.957052437,4.354755299,7.850418125
Argentina,5.526689827,8.111046771,3.850178852,-3.385457041,-0.788998939,-4.408839683,-10.89448483,8.837040796,9.029573301,8.85165992,8.0471515,9.007650875,4.057233103,-5.918525076,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.818502978,-2.617396463,-2.000861003,-9.900484814,10.71800993,4.95636996
Armenia,5.865400749,3.3210797,7.299999988,3.300000001,5.900000003,9.599999999,13.2,14,10.5,13.9,13.2,13.7,6.9,-14.1,2.2,4.699999999,7.200000001,3.3,3.600000001,3.199999999,0.2,7.500000002,5.2,7.599999999,-7.199999999,5.8,12.6
American Samoa,,,,,,,,0.965517241,0.409836066,-0.408163265,-4.098360656,1.851851852,-2.657342657,-4.166666667,0.299850075,0,-4.334828102,-2.5,1.762820513,3.149606299,-1.679389313,-6.98757764,2.671118531,-0.487804878,4.411764706,-0.782472613,1.735015773
Antigua and Barbuda,6.604459721,5.471608482,4.731125092,3.70761791,6.203431254,-4.548003473,1.02744197,6.076543688,5.767028612,6.473831316,12.70814853,9.315383163,-0.014340652,-11.96269725,-7.840594744,-1.958612628,1.439268513,0.485932081,2.211452513,1.445155299,4.099765539,2.463333366,6.953186092,3.10044515,-18.8803992,8.191718462,9.516395644
Australia,3.86393434,3.913189432,4.66325163,5.027647469,3.921517829,2.025127315,3.979633756,3.090687182,4.224321727,3.154139257,2.755298243,3.773392681,3.58622798,1.892573609,2.226538078,2.40897178,3.918409625,2.606198447,2.607401032,2.201810153,2.779142625,2.318709387,2.906363115,2.181109106,-0.334686359,2.111830889,4.268946393
Austria,2.349533852,2.09359939,3.581425815,3.556331247,3.375722147,1.267168189,1.651553922,0.941470921,2.735120222,2.244065325,3.454041836,3.727415301,1.460423676,-3.764578178,1.837093677,2.922797284,0.680445577,0.025504712,0.661272849,1.014501586,1.989437162,2.258572433,2.425385361,1.450529184,-6.632991437,4.237866733,4.806430202
Azerbaijan,1.299999405,5.800000148,9.999999612,7.4000013,11.09999914,9.899999865,9.438916269,10.2082994,9.253801797,27.96153811,34.5,24.99999985,10.75897806,9.296363744,5.048944513,0.100000138,2.165239475,5.809800843,2.750506815,1.093975916,-3.09999988,0.199999939,1.5,2.500000067,-4.300000102,5.616451029,4.616522963
Burundi,-7.999999998,-1.589999997,4.749999995,-1.009999996,-0.856864058,2.055807108,4.446519412,-1.22372796,4.833657768,0.900000001,5.413807145,3.451948564,4.861716367,3.812745366,5.124159994,4.032599988,4.446706331,4.924189898,4.240650214,-3.90000008,-0.600000909,0.500001262,1.609935421,1.812565323,0.327156891,3.1,1.84899944
Belgium,1.32145093,3.79365763,1.961808272,3.542743464,3.716679384,1.099618888,1.706884585,1.037982549,3.571204343,2.321737054,2.552349944,3.676881136,0.446928735,-2.020743062,2.864292708,1.694513899,0.739217283,0.459242193,1.578533143,2.041459009,1.266686409,1.619580278,1.792945193,2.240835331,-5.260779186,6.850995623,3.009902559
Benin,4.324284031,5.734688375,3.961012138,5.341449372,5.857714205,5.333135706,4.643030871,3.443576776,4.429684554,1.713164564,3.943738828,5.986349322,4.896577084,2.319292139,2.114064726,2.963752919,4.811223316,7.191433721,6.357679098,1.77815106,3.339673426,5.671561952,6.697253622,6.865686628,3.8487924,7.155451646,6.253244914
Burkina Faso,11.01474387,6.316834735,7.307719635,7.395237801,1.888473889,6.613405745,4.35296383,7.802493889,4.478452137,8.661873228,6.253164688,4.111379018,5.799991741,2.961950859,8.446281577,6.622562613,6.45267238,5.792584845,4.326845615,3.921228794,5.957976708,6.203489411,6.604569068,5.486455427,1.92199069,6.937860517,1.780492183
Bangladesh,4.522919217,4.489896498,5.177026873,4.670156369,5.293294719,5.077287775,3.83312394,4.7395674,5.23953291,6.535944939,6.671904986,7.058599354,6.013789757,5.045124799,5.571788185,6.464379125,6.521458779,6.013605658,6.061059359,6.552639878,7.113478213,6.590254815,7.31940778,7.881906729,3.448025628,6.938679124,7.099828776
Bulgaria,5.205392832,-14.11538076,3.789121364,-8.39609257,4.587226859,3.823703965,5.87192961,5.237154253,6.510425672,7.056349601,6.802589602,6.654387625,6.129558762,-3.347142263,1.555359513,2.090175696,0.748814803,-0.542751313,0.949448521,3.397553876,3.026628392,2.745927259,2.694906553,4.035188947,-3.966156136,7.661748074,3.926432221
Bahrain,4.110006115,3.092999787,4.790002789,4.29999896,5.300070056,2.490948108,3.348550668,6.296441979,6.980960594,6.768997871,6.467000122,8.293960448,6.245010775,2.539885936,4.334299173,1.983515012,3.72810843,5.41683981,4.350390853,2.485378558,3.558128119,4.290949778,2.111130473,2.166964669,-4.644637359,2.669708714,4.860858272
"Bahamas, The",4.223530362,1.287753205,4.716798555,7.144103907,4.148419308,2.626009827,2.704956247,-1.264916676,0.882373745,3.396084205,2.516592217,1.446099912,-2.32364807,-4.175428056,1.538662487,0.613170736,3.086377661,-2.862505478,1.847107192,0.996230704,-0.762973445,2.52416174,2.918306927,-0.743661883,-23.50810144,16.98449048,14.36820985
Bosnia and Herzegovina,88.95766618,34.38957405,15.59999669,9.599999716,12.76546946,2.423313172,5.027444207,3.867138795,6.325266169,3.89717799,5.414003571,5.857126342,5.443831035,-3.00445593,0.86566926,0.959511247,-0.821836474,2.349856663,1.153851092,4.314750611,3.242255212,3.244100959,3.827499205,2.887343344,-3.015095148,7.391652626,4.10622694
Belarus,2.800004628,11.40000546,8.399991343,3.399999241,5.800003361,4.72530605,5.045267505,7.043192512,11.44974306,9.400001589,9.999994721,8.600006599,10.19999947,0.199995249,7.798266835,5.378707504,1.687135534,1.003470772,1.726209989,-3.829663071,-2.525831409,2.53162368,3.149639499,1.446206671,-0.672904125,2.438866081,-4.697449707
Belize,1.105306354,4.234616513,3.893021663,9.423191377,12.24061403,4.993563302,5.399072105,9.665225324,4.780665783,2.219189271,4.511455442,3.297024123,-1.538593921,-0.450692254,1.239952915,-0.298181525,3.661599382,4.437643837,4.005318317,3.225493091,-0.011034415,-1.813365148,1.055598231,4.236234536,-13.73169108,17.86244784,8.734311438
Bermuda,2.600475429,4.600000843,3.900000094,3.38264702,9.317156411,7.222435538,-1.477790598,3.410706677,2.321267223,1.674206114,5.54386638,3.345139709,-1.865955826,-5.626697711,-2.502878289,-3.742744317,-5.305299107,-0.279708545,-3.701067594,0.7755297,-0.657206304,3.611419837,-0.4328013,0.306266735,-6.837955191,3.013816439,2.927112949
Bolivia,4.361341952,4.954208743,5.029354755,0.426885423,2.507810809,1.683799127,2.485565738,2.711339837,4.173295589,4.421433127,4.797008824,4.564384269,6.148497875,3.356999574,4.126722591,5.204092443,5.122275581,6.796011428,5.460569506,4.85718718,4.263920864,4.195206334,4.223623653,2.21670564,-8.737884358,6.111372725,3.605680383
Brazil,2.20886405,3.394845986,0.338097901,0.467937566,4.387949447,1.389896401,3.053461859,1.140828998,5.759964637,3.202132061,3.961988711,6.069870607,5.094195447,-0.125812002,7.528225818,3.974423079,1.921175986,3.004822669,0.50395574,-3.545763393,-3.275916908,1.322869054,1.783666762,1.220777824,-3.276758796,4.988849701,2.900530615
Barbados,3.976477177,4.740102343,3.728464901,0.334655429,4.447189623,-2.365464222,0.787401575,2.175480769,1.411598635,3.955457604,6.045525552,2.079168333,0.652483147,-5.035484961,-2.272188073,-0.748154442,-0.305742398,-1.299208208,-0.00112988,2.425879056,2.534996856,0.462619286,-0.871716339,0.263598552,-12.73798877,-0.782841691,11.33373987
Brunei Darussalam,2.878317747,-1.471171572,-0.558508851,3.052157142,2.849421858,2.744040518,3.872096967,2.903955477,0.504318253,0.387507208,4.397719678,0.154581812,-1.939714638,-1.764535541,2.598965746,3.745318352,0.912841671,-2.126028517,-2.508352566,-0.39238375,-2.477917718,1.328602552,0.052237791,3.869109865,1.13357335,-1.590762601,-1.628331545
Bhutan,5.565172862,5.373838519,5.914030835,7.983972022,3.355068285,8.348954483,10.99228184,7.823302361,6.008742236,7.287249352,6.999738095,18.36085406,4.799460612,6.748333748,11.945896,7.982617041,5.118400858,2.119972633,5.77649568,6.642232105,8.127033538,4.651834675,3.501871837,5.755148506,-10.21839741,4.421367402,
Botswana,5.829800014,8.325890884,0.443663586,9.667240703,1.987695834,0.25057395,6.069530876,4.62589475,2.705821706,4.556645653,8.363871093,5.792555777,3.252072958,-14.14423462,10.12220912,6.838529748,-0.170900761,11.10282378,5.694777382,-4.85133564,7.204424759,4.114363663,4.188093554,3.032202574,-8.728752526,11.87035832,5.787917203
Central African Republic,-4.000092964,5.299936018,4.700142379,3.599974904,-2.48943244,4.464739026,3.616542192,-5.397485219,5.994884228,0.908210515,4.77108543,4.607534855,2.054130962,8.587260426,4.630818432,4.194615337,5.053761254,-36.3919771,0.081070515,4.33712103,4.750316841,4.527278213,3.789443593,3.1,0.899999997,0.98292,0.50211
Canada,1.619172495,4.280040034,3.896151829,5.162913624,5.177635668,1.78997288,3.018050512,1.801518136,3.086980809,3.204200428,2.634303814,2.071825031,1.004289199,-2.925955647,3.089919462,3.146100491,1.760961588,2.329122506,2.870036075,0.659176864,1.001394414,3.039880225,2.777040554,1.888223585,-5.074357568,5.011800875,3.43798174
Central Europe and the Baltics,4.546913818,2.313642182,2.680101866,1.90692342,3.956860892,3.080647656,3.614738597,4.087100988,5.839961766,5.019023632,6.594764946,6.432967863,3.935237297,-3.506659242,1.435451328,3.513159496,0.824034779,0.663998194,3.212564037,4.025424756,2.749669035,5.102917966,4.940313219,3.901769818,-3.416975866,6.476062758,4.127586232
Switzerland,0.471280021,2.261325239,3.02996917,1.662701284,3.958719719,1.575661967,-0.073217084,-0.032398477,2.70170921,2.749698985,4.07362845,3.916375818,2.807983632,-2.297374631,3.243397336,1.813108192,1.179253833,1.792144057,2.349881275,1.644627687,2.068689667,1.362799557,2.860445795,1.141982325,-2.141737207,5.391888041,2.568328178
Channel Islands,,,,,,,,,,,,,,,,,,,,,,1.96610999,1.052290562,1.32511666,-7.965078807,8.646769717,
Chile,6.802916596,7.391739268,4.180886627,-0.273631398,4.971621489,3.154034924,3.20279914,4.723245267,6.674254167,5.837045715,6.049990829,5.168230987,3.789392802,-1.118037233,5.851651017,6.223896787,6.155340021,3.308508245,1.792649474,2.151942499,1.753038746,1.357695378,3.990029475,0.743130032,-6.145246858,11.73743107,2.4404034
China,9.922556756,9.236779894,7.845951782,7.661651506,8.490093404,8.335733476,9.13363079,10.03803048,10.11362138,11.39459181,12.72095566,14.23086093,9.650678918,9.398725632,10.63587107,9.550832179,7.863736448,7.766150097,7.425763656,7.041328879,6.848762204,6.947200793,6.749773833,5.950500754,2.238638357,8.448469416,2.989084086
Cote d'Ivoire,7.729327419,9.648840047,4.263905944,1.166859982,-0.265789462,-2.154012491,-2.730526474,-4.725866586,3.185038226,0.996065565,2.815578593,1.101429768,4.782665979,3.603321567,6.848049399,-5.37044724,7.620411765,10.76021313,9.371999942,7.194949427,7.17275964,7.410762426,4.84314606,6.518286733,1.737620431,6.999999994,6.741330002
Cameroon,4.21507215,4.527313766,4.725534848,4.511304221,3.832417794,4.324261192,4.477026834,5.453153689,7.048862819,2.228270209,3.809583276,4.32758901,2.847677889,2.579251777,2.899024721,3.379211285,4.625978722,4.995529161,5.719818145,5.666952987,4.535794237,3.541176549,3.955514239,3.475059982,0.259932916,3.338857472,3.582796319
"Congo, Dem. Rep.",-1.023172642,-5.617046599,-1.624154045,-4.270140831,-6.910927317,-2.100173025,2.947765184,5.577822311,6.738373933,6.135151155,5.320979565,6.259477764,6.225894269,2.85506401,7.107976576,6.87467089,7.086898947,8.481956636,9.470288099,6.916167119,2.399398911,3.726947659,5.8211211,4.384528874,1.735422767,6.200154011,8.924447626
"Congo, Rep.",4.290481559,-0.624812152,3.73755277,-2.582199358,7.575980395,3.802601899,4.581870061,0.813264076,3.476631621,7.755758978,7.986238363,-6.613994804,6.306375956,11.63728886,9.931265431,2.205919363,9.947153143,-0.712434452,6.646065409,0.415193061,-8.685243439,-5.594773719,-2.304317801,1.124477074,-6.267777996,1.015070966,1.475356946
Colombia,2.055854713,3.430293678,0.569784088,-4.204015242,2.924861482,1.677898308,2.503980467,3.918271903,5.333022068,4.828761108,6.716868698,6.738194691,3.283446186,1.139648645,4.494658971,6.947891982,3.912635767,5.13399352,4.499030001,2.955901375,2.087382502,1.359360868,2.564324283,3.186855392,-7.252299075,11.01619327,7.256562874
Comoros,-1.291688926,4.030153668,1.282515793,1.924408712,10.84787862,2.332907102,2.324944861,2.103871636,1.919659807,2.83754787,2.646955476,0.800042349,3.964611189,3.240740728,3.77776675,4.143506695,3.168409869,4.466247315,2.106657589,1.147350761,3.320446562,3.815762877,3.642451138,1.760780239,-0.195556827,2.112195577,2.387678485
Cabo Verde,11.34652476,11.11842606,12.51728579,11.22264845,14.28486885,2.231654545,5.25089117,4.176259326,10.19707263,6.912457957,7.983750448,15.17068797,7.039011296,-1.503586724,1.83641915,3.924718213,1.083648484,0.632136727,0.69666684,0.936026508,4.280714827,4.55131481,3.706964583,6.947826341,-20.8052759,5.615082627,17.11679066
Costa Rica,1.350459535,5.476165775,7.155308578,4.214811168,3.868718091,3.491169871,3.416876389,4.317179864,4.424599598,3.976666368,7.326695432,8.215131984,4.738174877,-0.873455941,5.360343477,4.403159239,4.88259241,2.494766114,3.542109876,3.652080968,4.204323254,4.157698962,2.615904403,2.417511817,-4.273354321,7.935762247,4.55149178
Caribbean small states,3.472585014,2.99396554,2.988956186,4.150536654,3.750943017,2.023104408,3.58587129,5.614151563,3.947193596,3.613358343,6.786037331,3.375863617,1.196641409,-3.559492997,1.265309732,1.03910985,3.430540367,1.3820408,2.303070139,0.208242455,-2.1837814,-0.56251529,1.604753709,0.897429472,-9.649945144,5.878979352,13.21720542
Cuba,7.838749797,2.78342506,0.15914605,6.188755307,5.914760019,3.185029904,1.424821261,3.792740223,5.77053807,11.20165656,12.06586298,7.262136966,4.116828042,1.451305431,2.390352297,2.802300836,3.014900289,2.747602563,1.047576632,4.438333589,0.512843096,1.809791772,2.247948541,-0.163087224,-10.9490846,1.253693425,1.774853995
Curacao,,,,,,-0.695753704,0.397065217,0.288186682,0.208461073,0.676425345,1.63593469,2.469963228,2.18804308,-0.531308242,0.082306609,0.508457572,-0.348950357,-0.635696648,-0.637398345,0.458151746,-1.0677077,-1.276209315,-2.10411143,-3.206131719,-18.03845864,4.183711931,7.89
Cayman Islands,,,,,,,,,,,,3.162625227,-0.357401201,-7.200482447,-2.715635262,1.169062198,1.229753657,1.27933102,2.654527985,2.833122226,3.239974339,3.184045923,4.267267452,3.915635342,-5.108133963,4.028663859,3.674517403
Cyprus,1.248581576,2.64089464,6.110846746,4.997960422,5.965310315,3.952560541,3.722956499,2.623286123,5.026343926,4.853003838,4.713828666,5.098068453,3.646811991,-2.015262359,2.014695707,0.401437941,-3.446822086,-6.553078255,-1.829309109,3.383079712,6.454554466,5.852540355,5.692841724,5.839884912,-3.390860487,9.911308208,5.058130191
Czechia,4.265416645,-0.518331043,-0.356566596,1.384148943,4.001028635,3.042976563,1.569855328,3.583688459,4.814261001,6.60161753,6.766932681,5.570338859,2.686411951,-4.657331092,2.434902159,1.760359624,-0.785004299,-0.045903674,2.262102897,5.388380838,2.53728452,5.168724304,3.22008807,3.029878663,-5.502967961,3.553021309,2.351754887
Germany,0.805822891,1.792160821,2.013932785,1.887261154,2.912502964,1.681468481,-0.197973835,-0.700116686,1.175088132,0.731707164,3.816441913,2.976455131,0.959879134,-5.693836336,4.179882499,3.925192705,0.418497594,0.437591303,2.209543431,1.491931528,2.229999868,2.680231114,0.981232606,1.075471636,-3.826768716,3.163819942,1.806208967
Djibouti,,,,,,,,,,,,,,,,,,,7.061543242,7.526108919,7.123432337,5.458091517,4.774416888,5.5451306,1.316363242,4.522347746,3.123833114
