Country Name,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,28958.14358,30074.40601,29765.51494,29262.61565,30703.66095,31426.8788,30760.20724,30793.13477,32742.76081,32291.76897,32272.25084,32863.36227,33053.76723,28836.01695,27732.21371,28398.55764,27876.20638,29447.57977,28780.63078,28419.26453,28737.89624,30598.64873,31172.80219,30317.60691,23015.74187,29390.38073,32492.17863
Africa Eastern and Southern,1249.376961,1272.068119,1263.853149,1265.01018,1274.443713,1287.445213,1304.035848,1310.241964,1347.01303,1392.47933,1444.994917,1499.161128,1521.966408,1490.930781,1525.742707,1540.053935,1512.192013,1533.325592,1551.714858,1554.167299,1546.464495,1545.203136,1542.238527,1532.46891,1450.721534,1474.657674,1487.476418
Afghanistan,,,,,,,344.2241826,347.4152411,338.7393978,363.5414692,367.4858512,410.8616125,418.5231728,490.2728366,544.6892969,527.1973393,570.6760643,582.1039789,576.4878203,566.8811327,564.9208436,563.4882394,553.9733089,559.1409569,529.1449125,407.6165074,
Africa Western and Central,1172.232976,1190.145078,1198.94819,1183.935204,1195.248588,1223.198253,1307.751672,1342.336591,1409.799086,1450.70156,1486.559491,1525.533378,1576.665047,1629.403734,1694.720655,1727.676025,1766.722297,1824.233852,1880.612219,1882.264038,1835.149891,1827.645416,1830.66434,1840.776688,1777.026501,1801.331655,1822.878716
Angola,1840.354085,1909.468939,1934.55795,1913.998921,1909.502065,1925.508033,2116.851682,2106.985867,2257.152363,2505.655032,2696.441099,2964.335453,3176.672166,3087.811434,3105.449659,3094.733919,3235.174609,3270.966349,3304.681152,3217.339244,3023.916323,2914.127143,2777.843045,2666.253919,2435.024857,2387.42991,2385.119959
Albania,1633.552,1464.297963,1603.64765,1821.873131,1960.88246,2143.526839,2247.49808,2380.644621,2522.449374,2675.508637,2851.367759,3044.896617,3298.478908,3432.170872,3577.114325,3678.047701,3736.34008,3780.699193,3855.760744,3952.803574,4090.372728,4249.820049,4431.555595,4543.38771,4418.660874,4857.111942,5155.29086
Andorra,28797.86673,31149.37029,31895.99577,32966.25233,33901.1929,35722.54567,35749.94571,37250.31269,38696.51279,39307.15932,40994.46687,42724.58727,41470.45741,40442.80411,40937.2933,41486.21896,39174.91569,37597.72299,38402.6673,38885.54859,39886.65882,39321.63278,39320.11092,39413.80939,34394.4302,36616.11796,39447.53825
Arab World,4562.467984,4667.949661,4794.890728,4774.872828,4975.684865,4951.231905,4878.877123,5009.253867,5335.569847,5500.778071,5692.880457,5796.856233,5956.595822,5824.714651,5954.123825,6027.427601,6179.223633,6198.49137,6209.039599,6287.314935,6384.380005,6332.507987,6353.722456,6309.964076,5887.915493,6010.126019,6260.802664
United Arab Emirates,62935.98474,63791.59405,60144.81456,58365.15518,61187.76975,58831.08967,57286.49606,59389.51035,62139.58693,60778.46861,58336.56272,50214.13709,43541.97,36076.52773,34540.97151,36288.33318,36567.62229,38034.9684,39242.27531,41525.1389,43457.51348,43419.56374,43644.14704,43785.41727,41276.05551,42715.44017,45698.01053
Argentina,10388.53871,11097.38206,11391.94516,10880.20621,10672.72204,10090.65344,8895.319642,9581.969792,10341.64341,11141.31067,11913.95853,12857.09258,13246.63489,12336.86194,13551.33919,14200.26989,13895.63371,14071.50868,13567.94842,13789.06042,13360.21183,13595.03736,13105.39716,12716.2242,11346.65211,12444.31827,12940.73844
